"","all_trips_v2$usertype","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2259.39426256649
"2","member","Sunday",924.787571235611
"3","casual","Monday",1902.81439918641
"4","member","Monday",781.656459059644
"5","casual","Tuesday",1659.61188635529
"6","member","Tuesday",754.560049082264
"7","casual","Wednesday",1682.08245865686
"8","member","Wednesday",758.065418181363
"9","casual","Thursday",1691.84230153756
"10","member","Thursday",758.426406341289
"11","casual","Friday",1826.43561474989
"12","member","Friday",792.552390118407
"13","casual","Saturday",2072.87733178307
"14","member","Saturday",903.791687545914
